id_compte,numero_compte,rib,iban,type_compte,devise,date_ouverture,statut,solde_actuel,id_entreprise,id_agence,id_conseiller,id_compte_courant_parent,date_dernier_mouvement,classification
17,5720371076072249,0117485720371076072249,MA640117485720371076072249,COURANT,MAD,2017-06-23,ACTIF,332714.12,13,1,10,,2018-12-05,Inactif
18,1409438416258097,0112491409438416258097,MA640112491409438416258097,COURANT,MAD,2012-05-02,ACTIF,230653.21,14,1,11,,2022-09-22,Inactif
19,3568586384692313,0113603568586384692313,MA640113603568586384692313,COURANT,MAD,2008-03-14,ACTIF,314254.3,15,1,10,,2018-08-02,Inactif
20,1599898354450585,0118341599898354450585,MA640118341599898354450585,COURANT,MAD,2012-02-28,INACTIF,3561516.74,16,1,11,,2023-08-21,Inactif
21,7925748063611078,0117467925748063611078,MA640117467925748063611078,COURANT,MAD,2021-12-10,ACTIF,516727.01,17,1,10,,2022-01-11,Inactif
22,1171714466171331,0113681171714466171331,MA640113681171714466171331,COURANT,MAD,2020-08-19,INACTIF,219154.61,18,1,11,,2022-08-23,Inactif
23,6357158191468439,0115616357158191468439,MA640115616357158191468439,DAT,MAD,2021-01-30,ACTIF,59292.34,18,1,11,22.0,2021-01-30,Actif
24,2119799695169781,0119912119799695169781,MA640119912119799695169781,COURANT,MAD,2017-06-09,ACTIF,345922.15,19,1,10,,2023-01-27,Inactif
25,6263248444840947,0115466263248444840947,MA640115466263248444840947,DAT,MAD,2017-12-25,ACTIF,137267.14,19,1,10,24.0,2017-12-25,Actif
26,5756933167903564,0119615756933167903564,MA640119615756933167903564,COURANT,MAD,2007-05-14,ACTIF,71911.49,20,1,11,,2010-05-20,Inactif
27,7851149469431275,0116207851149469431275,MA640116207851149469431275,DAT,MAD,2008-03-10,ACTIF,34186.18,20,1,11,26.0,2008-03-10,Actif
28,9232142693676743,0118139232142693676743,MA640118139232142693676743,COURANT,MAD,2012-06-04,ACTIF,7307251.92,21,1,10,,2017-10-02,Inactif
29,8940028013091047,0112418940028013091047,MA640112418940028013091047,COURANT,MAD,2011-06-08,ACTIF,479695.89,22,1,11,,2013-05-30,Inactif
30,7469219389070577,0113867469219389070577,MA640113867469219389070577,COURANT,MAD,2010-05-01,ACTIF,434727.4,23,1,10,,2016-07-17,Inactif
31,3876541678308735,0111153876541678308735,MA640111153876541678308735,COURANT,MAD,2005-10-29,ACTIF,441692.51,24,1,11,,2006-03-14,Inactif
32,5330563743003049,0117005330563743003049,MA640117005330563743003049,COURANT,MAD,2006-03-21,ACTIF,361910.34,25,1,10,,2018-10-12,Inactif
33,7168666185612600,0113657168666185612600,MA640113657168666185612600,COURANT,MAD,2014-10-17,ACTIF,42780862.91,26,1,11,,2022-12-28,Inactif
34,2719943985268530,0115512719943985268530,MA640115512719943985268530,DAT,MAD,2015-04-22,ACTIF,7653596.22,26,1,11,33.0,2015-04-22,Actif
35,6487349373650357,0118536487349373650357,MA640118536487349373650357,COURANT,MAD,2007-03-03,INACTIF,2469748.03,27,1,10,,2011-12-28,Inactif
36,1105045984704673,0116051105045984704673,MA640116051105045984704673,COURANT,MAD,2011-07-16,ACTIF,123648.4,28,1,11,,2017-04-10,Inactif
37,9412626180963668,0119349412626180963668,MA640119349412626180963668,DAT,MAD,2012-03-08,ACTIF,45385.27,28,1,11,36.0,2012-03-08,Actif
38,6100244798695038,0114396100244798695038,MA640114396100244798695038,COURANT,MAD,2019-03-12,ACTIF,75073252.11,29,1,10,,2020-11-12,Inactif
39,3490695831320523,0117793490695831320523,MA640117793490695831320523,COURANT,MAD,2005-02-25,ACTIF,77655538.37,30,1,11,,2016-12-09,Inactif
40,3930426530704750,0116393930426530704750,MA640116393930426530704750,COURANT,MAD,2010-10-17,ACTIF,90205944.63,31,1,10,,2016-04-18,Inactif
41,5000037966694280,0116485000037966694280,MA640116485000037966694280,COURANT,MAD,2017-09-15,ACTIF,449647.5,32,1,11,,2023-02-22,Inactif
42,5347953384043097,0113855347953384043097,MA640113855347953384043097,COURANT,MAD,2011-09-24,ACTIF,253679.0,33,1,10,,2016-08-20,Inactif
43,5492575429670856,0115865492575429670856,MA640115865492575429670856,COURANT,MAD,2012-12-24,ACTIF,143959.58,34,1,11,,2014-10-05,Inactif
44,5425870290490408,0114525425870290490408,MA640114525425870290490408,COURANT,MAD,2014-10-21,ACTIF,45174.67,35,1,10,,2021-11-07,Inactif
45,4710235721675008,0115684710235721675008,MA640115684710235721675008,COURANT,MAD,2007-06-16,ACTIF,62642595.73,36,1,11,,2022-11-02,Inactif
46,6751798169560834,0112606751798169560834,MA640112606751798169560834,COURANT,MAD,2009-09-15,INACTIF,97102515.2,37,1,10,,2016-12-14,Inactif
47,6696210944517026,0116046696210944517026,MA640116046696210944517026,COURANT,MAD,2018-01-30,ACTIF,6553945.81,38,1,11,,2021-10-31,Inactif
48,9607733268496151,0114669607733268496151,MA640114669607733268496151,COURANT,MAD,2008-08-28,ACTIF,181018.39,39,1,10,,2015-08-17,Inactif
49,1106518816686777,0118391106518816686777,MA640118391106518816686777,COURANT,MAD,2017-11-10,ACTIF,4905618.79,40,1,11,,2024-03-15,Inactif
50,3572568015051841,0119033572568015051841,MA640119033572568015051841,COURANT,MAD,2014-05-06,ACTIF,195310.02,41,1,10,,2015-04-22,Inactif
51,9580558230835124,0117679580558230835124,MA640117679580558230835124,DAT,MAD,2015-02-03,ACTIF,59326.8,41,1,10,50.0,2015-02-03,Actif
52,4768355282672212,0116364768355282672212,MA640116364768355282672212,COURANT,MAD,2016-07-09,ACTIF,1808264.32,42,1,11,,2024-11-15,Actif
53,6505742984262295,0114906505742984262295,MA640114906505742984262295,COURANT,MAD,2009-04-30,ACTIF,7745704.45,43,1,10,,2010-06-03,Inactif
54,9506295077934407,0111849506295077934407,MA640111849506295077934407,COURANT,MAD,2014-11-15,ACTIF,2614993.7,44,1,11,,2015-04-01,Inactif
55,5478092439416977,0111735478092439416977,MA640111735478092439416977,COURANT,MAD,2014-01-27,ACTIF,102284.86,45,1,10,,2018-12-28,Inactif
56,2400251556428671,0115972400251556428671,MA640115972400251556428671,COURANT,MAD,2016-05-14,ACTIF,8823328.39,46,1,11,,2020-01-10,Inactif
57,9255118468709308,0111419255118468709308,MA640111419255118468709308,COURANT,MAD,2019-01-31,ACTIF,1611295.45,47,1,10,,2024-07-07,Faiblement actif
58,2849334076541473,0117482849334076541473,MA640117482849334076541473,DAT,MAD,2019-09-24,ACTIF,94557.46,47,1,10,57.0,2019-09-24,Actif
59,6302777750119360,0113116302777750119360,MA640113116302777750119360,COURANT,MAD,2013-04-01,ACTIF,14467269.11,48,1,11,,2014-08-29,Inactif
60,6965273194092422,0115186965273194092422,MA640115186965273194092422,COURANT,MAD,2017-09-23,ACTIF,7134913.74,49,1,10,,2019-06-13,Inactif
61,5308151897108374,0114655308151897108374,MA640114655308151897108374,COURANT,MAD,2008-12-06,ACTIF,429624.82,50,1,11,,2023-08-26,Inactif
62,5295310883688558,0119955295310883688558,MA640119955295310883688558,COURANT,MAD,2009-01-12,ACTIF,14707.04,51,1,10,,2012-02-22,Inactif
63,5976531763373687,0117215976531763373687,MA640117215976531763373687,COURANT,MAD,2018-12-04,ACTIF,95284.54,52,1,11,,2024-04-12,Inactif
64,1300323474491302,0119521300323474491302,MA640119521300323474491302,COURANT,MAD,2016-10-15,ACTIF,53482095.34,53,1,10,,2020-08-21,Inactif
65,8643941023429142,0118138643941023429142,MA640118138643941023429142,DAT,MAD,2017-08-29,ACTIF,21608345.7,53,1,10,64.0,2017-08-29,Actif
66,3055903386851275,0111703055903386851275,MA640111703055903386851275,COURANT,MAD,2006-06-19,ACTIF,212855.37,54,1,11,,2021-08-29,Inactif
67,3217429355506952,0117183217429355506952,MA640117183217429355506952,DAT,MAD,2006-12-23,ACTIF,92683.82,54,1,11,66.0,2006-12-23,Actif
68,3386968579795026,0116543386968579795026,MA640116543386968579795026,COURANT,MAD,2005-06-16,ACTIF,83817.63,55,1,10,,2022-06-27,Inactif
69,9898146686553029,0114449898146686553029,MA640114449898146686553029,DAT,MAD,2006-06-10,ACTIF,23156.66,55,1,10,68.0,2006-06-10,Actif
70,6090010652847571,0114586090010652847571,MA640114586090010652847571,COURANT,MAD,2013-01-18,ACTIF,4811100.46,56,1,11,,2013-11-14,Inactif
71,3821885395717754,0119123821885395717754,MA640119123821885395717754,COURANT,MAD,2007-01-15,ACTIF,3231516.1,57,1,10,,2013-11-25,Inactif
72,6510003185655486,0114446510003185655486,MA640114446510003185655486,COURANT,MAD,2019-02-06,ACTIF,5416730.29,58,1,11,,2021-01-21,Inactif
73,1721664275347509,0119791721664275347509,MA640119791721664275347509,COURANT,MAD,2018-03-17,ACTIF,415883.87,59,1,10,,2022-09-30,Inactif
74,7262883826775788,0115747262883826775788,MA640115747262883826775788,COURANT,MAD,2008-07-02,ACTIF,1961451.41,60,1,11,,2009-08-23,Inactif
75,4385791672054715,0117584385791672054715,MA640117584385791672054715,DAT,MAD,2009-01-18,ACTIF,1093284.42,60,1,11,74.0,2009-01-18,Actif
76,4226485999014851,0113694226485999014851,MA640113694226485999014851,COURANT,MAD,2016-04-17,ACTIF,30267270.75,61,1,10,,2017-02-04,Inactif
77,2791697633212792,0115952791697633212792,MA640115952791697633212792,DAT,MAD,2017-02-15,ACTIF,15763291.04,61,1,10,76.0,2017-02-15,Actif
78,5520003063860348,0116125520003063860348,MA640116125520003063860348,COURANT,MAD,2016-03-20,ACTIF,179436.82,62,1,11,,2019-01-26,Inactif
79,2278164562815737,0114162278164562815737,MA640114162278164562815737,COURANT,MAD,2005-11-06,ACTIF,325838.11,63,1,10,,2017-10-28,Inactif
80,4191526629403500,0112554191526629403500,MA640112554191526629403500,COURANT,MAD,2017-02-15,ACTIF,1011809.98,64,1,11,,2023-02-21,Inactif
81,8812451756172299,0118678812451756172299,MA640118678812451756172299,COURANT,MAD,2007-01-26,ACTIF,5571608.13,65,1,10,,2017-12-20,Inactif
82,6486608164016186,0117696486608164016186,MA640117696486608164016186,COURANT,MAD,2008-06-17,INACTIF,4929211.34,66,1,11,,2009-06-14,Inactif
83,2577833935959953,0117552577833935959953,MA640117552577833935959953,COURANT,MAD,2011-04-14,ACTIF,5355940.17,67,1,10,,2020-06-28,Inactif
84,6959798510252457,0114096959798510252457,MA640114096959798510252457,COURANT,MAD,2007-08-17,ACTIF,369350.71,68,1,11,,2014-05-14,Inactif
85,2288704944156455,0117482288704944156455,MA640117482288704944156455,COURANT,MAD,2017-01-25,ACTIF,203221.35,69,1,10,,2022-08-05,Inactif
86,2670816884621165,0113972670816884621165,MA640113972670816884621165,COURANT,MAD,2007-08-04,ACTIF,8112639.18,70,1,11,,2015-06-04,Inactif
87,4803745660044865,0116114803745660044865,MA640116114803745660044865,COURANT,MAD,2009-04-10,ACTIF,497373.53,71,1,10,,2018-04-19,Inactif
88,2044657971755903,0111192044657971755903,MA640111192044657971755903,COURANT,MAD,2019-11-22,ACTIF,1990538.69,72,1,11,,2021-11-03,Inactif
89,1473330761434597,0118671473330761434597,MA640118671473330761434597,COURANT,MAD,2006-07-01,ACTIF,8479200.02,73,1,10,,2016-10-24,Inactif
90,9017931433903905,0118179017931433903905,MA640118179017931433903905,COURANT,MAD,2006-09-08,ACTIF,289438.9,74,1,11,,2018-07-20,Inactif
91,5901164987618227,0118675901164987618227,MA640118675901164987618227,COURANT,MAD,2006-04-26,ACTIF,4038897.84,75,1,10,,2024-06-28,Inactif
92,6392925243552643,0115556392925243552643,MA640115556392925243552643,COURANT,MAD,2015-02-24,ACTIF,8685713.89,76,1,11,,2019-02-08,Inactif
93,8075799789771817,0114648075799789771817,MA640114648075799789771817,COURANT,MAD,2017-04-14,ACTIF,190832.55,77,1,10,,2021-11-08,Inactif
94,8166937682253547,0112368166937682253547,MA640112368166937682253547,DAT,MAD,2017-07-18,ACTIF,55136.94,77,1,10,93.0,2017-07-18,Actif
95,4093502956359602,0113184093502956359602,MA640113184093502956359602,COURANT,MAD,2005-07-10,ACTIF,2222547.56,78,1,11,,2023-12-02,Inactif
96,7282671851592392,0117187282671851592392,MA640117187282671851592392,COURANT,MAD,2021-01-23,ACTIF,1722833.26,79,1,10,,2021-12-26,Inactif
97,4020112952097153,0117884020112952097153,MA640117884020112952097153,COURANT,MAD,2012-09-16,ACTIF,309170.82,80,1,11,,2023-06-21,Inactif
98,4597439479814700,0111644597439479814700,MA640111644597439479814700,COURANT,MAD,2014-08-14,ACTIF,209952.95,81,1,10,,2014-11-13,Inactif
99,7124045440645572,0111527124045440645572,MA640111527124045440645572,COURANT,MAD,2021-03-03,ACTIF,9736582.36,82,1,11,,2023-03-18,Inactif
100,1338092978943105,0119441338092978943105,MA640119441338092978943105,COURANT,MAD,2017-09-24,ACTIF,185554.92,83,1,10,,2019-09-07,Inactif
101,7319984689362602,0118467319984689362602,MA640118467319984689362602,COURANT,MAD,2021-01-03,ACTIF,474548.85,84,1,11,,2022-06-28,Inactif
102,6239057767601447,0116356239057767601447,MA640116356239057767601447,COURANT,MAD,2018-03-21,ACTIF,75037.78,85,1,10,,2024-10-04,Actif
103,3231329420141335,0113003231329420141335,MA640113003231329420141335,COURANT,MAD,2013-01-04,ACTIF,406072.7,86,1,11,,2018-12-05,Inactif
104,8859533375663590,0112108859533375663590,MA640112108859533375663590,COURANT,MAD,2021-09-20,ACTIF,434034.91,87,1,10,,2024-10-13,Actif
105,5108860562923987,0117335108860562923987,MA640117335108860562923987,COURANT,MAD,2008-11-18,ACTIF,9786654.5,88,1,11,,2016-01-09,Inactif
106,3882596034275084,0118163882596034275084,MA640118163882596034275084,COURANT,MAD,2008-01-05,ACTIF,316412.17,89,1,10,,2016-06-01,Inactif
107,8144724799353132,0118918144724799353132,MA640118918144724799353132,COURANT,MAD,2006-12-02,ACTIF,103350.89,90,1,11,,2024-01-24,Inactif
108,7041750035176593,0114917041750035176593,MA640114917041750035176593,DAT,MAD,2007-04-20,ACTIF,43422.16,90,1,11,107.0,2007-04-20,Actif
109,8417098196982204,0113118417098196982204,MA640113118417098196982204,COURANT,MAD,2017-06-07,ACTIF,6851202.9,91,1,10,,2024-08-24,Faiblement actif
110,6966772067557861,0113216966772067557861,MA640113216966772067557861,DAT,MAD,2018-05-06,ACTIF,1715375.92,91,1,10,109.0,2018-05-06,Actif
111,4750826176659916,0118974750826176659916,MA640118974750826176659916,COURANT,MAD,2015-02-20,ACTIF,51786113.28,92,1,11,,2016-01-14,Inactif
112,8009219542726323,0117778009219542726323,MA640117778009219542726323,COURANT,MAD,2016-10-22,ACTIF,87077.19,93,1,10,,2019-01-12,Inactif
113,3779096462233161,0116543779096462233161,MA640116543779096462233161,COURANT,MAD,2019-01-10,ACTIF,328630.56,94,1,11,,2019-02-25,Inactif
114,7290957074814358,0113987290957074814358,MA640113987290957074814358,DAT,MAD,2019-08-30,ACTIF,12538.78,94,1,11,113.0,2019-08-30,Actif
115,9925641774849775,0117779925641774849775,MA640117779925641774849775,COURANT,MAD,2009-09-25,ACTIF,27873.89,95,1,10,,2019-07-02,Inactif
116,6008690710346771,0117186008690710346771,MA640117186008690710346771,COURANT,MAD,2019-05-13,ACTIF,388862.41,96,1,11,,2024-10-12,Actif
117,3490299522590849,0115263490299522590849,MA640115263490299522590849,COURANT,MAD,2007-10-08,ACTIF,323067.92,97,1,10,,2018-12-16,Inactif
118,9815026950239060,0111509815026950239060,MA640111509815026950239060,COURANT,MAD,2009-05-13,INACTIF,5283170.77,98,1,11,,2011-09-03,Inactif
119,4991273197824206,0114964991273197824206,MA640114964991273197824206,COURANT,MAD,2020-09-19,ACTIF,11132511.63,99,1,10,,2022-07-23,Inactif
120,5006541624654999,0115785006541624654999,MA640115785006541624654999,DAT,MAD,2021-05-26,ACTIF,539873.3,99,1,10,119.0,2021-05-26,Actif
121,4096282091768943,0118014096282091768943,MA640118014096282091768943,COURANT,MAD,2009-08-08,ACTIF,180074.38,100,1,11,,2024-11-21,Actif
122,8638704914454734,0119158638704914454734,MA640119158638704914454734,DAT,MAD,2010-01-13,ACTIF,116392.67,100,1,11,121.0,2010-01-13,Actif
123,9659364412075786,0115989659364412075786,MA640115989659364412075786,COURANT,MAD,2013-05-15,ACTIF,482801.78,101,1,10,,2018-07-07,Inactif
124,1712431726560162,0117991712431726560162,MA640117991712431726560162,COURANT,MAD,2015-10-16,INACTIF,263580.29,102,1,11,,2021-12-25,Inactif
125,2340043835209875,0116872340043835209875,MA640116872340043835209875,DAT,MAD,2016-08-27,ACTIF,69111.53,102,1,11,124.0,2016-08-27,Actif
126,7235042511446148,0115007235042511446148,MA640115007235042511446148,COURANT,MAD,2014-11-28,ACTIF,201567.49,103,1,10,,2020-02-03,Inactif
127,2859548955758595,0115072859548955758595,MA640115072859548955758595,COURANT,MAD,2009-07-18,ACTIF,121909.85,104,1,11,,2013-05-25,Inactif
128,6683363986690234,0112156683363986690234,MA640112156683363986690234,DAT,MAD,2009-11-14,ACTIF,47486.5,104,1,11,127.0,2009-11-14,Actif
129,7845695571135583,0118247845695571135583,MA640118247845695571135583,COURANT,MAD,2019-04-22,ACTIF,73762081.18,105,1,10,,2023-06-02,Inactif
130,3670755259399803,0113373670755259399803,MA640113373670755259399803,COURANT,MAD,2019-08-29,ACTIF,1501489.09,106,1,11,,2022-09-18,Inactif
131,2109751010571999,0117542109751010571999,MA640117542109751010571999,COURANT,MAD,2020-06-06,ACTIF,152531.05,107,1,10,,2022-09-20,Inactif
132,5537524644053876,0114185537524644053876,MA640114185537524644053876,COURANT,MAD,2011-07-03,ACTIF,402701.4,108,1,11,,2019-12-19,Inactif
133,5083684316319628,0111835083684316319628,MA640111835083684316319628,COURANT,MAD,2016-03-30,ACTIF,274798.02,109,1,10,,2024-10-28,Actif
134,3542061521647488,0113503542061521647488,MA640113503542061521647488,DAT,MAD,2017-02-01,ACTIF,79681.11,109,1,10,133.0,2017-02-01,Actif
135,8823641174718584,0117508823641174718584,MA640117508823641174718584,COURANT,MAD,2015-04-12,INACTIF,287821.61,110,1,11,,2021-08-17,Inactif
136,2341724476140069,0115642341724476140069,MA640115642341724476140069,COURANT,MAD,2008-08-07,ACTIF,511057.84,111,1,10,,2019-08-28,Inactif
137,8692412950730353,0111588692412950730353,MA640111588692412950730353,COURANT,MAD,2017-04-10,INACTIF,1633120.84,112,1,11,,2018-02-05,Inactif
138,5428642822512134,0111045428642822512134,MA640111045428642822512134,DAT,MAD,2017-11-21,ACTIF,116193.77,112,1,11,137.0,2017-11-21,Actif
139,9517355194717794,0113379517355194717794,MA640113379517355194717794,COURANT,MAD,2021-11-10,ACTIF,96354458.67,113,1,10,,2024-12-21,Actif
140,2547574884806586,0113652547574884806586,MA640113652547574884806586,COURANT,MAD,2019-09-28,ACTIF,2167455.58,114,1,11,,2022-04-13,Inactif
141,1126029662046108,0111621126029662046108,MA640111621126029662046108,COURANT,MAD,2014-06-19,ACTIF,4701403.45,115,1,10,,2017-08-08,Inactif
142,7107530995231261,0117017107530995231261,MA640117017107530995231261,COURANT,MAD,2015-01-01,INACTIF,477313.55,116,1,11,,2022-06-30,Inactif
143,4055421140306132,0111454055421140306132,MA640111454055421140306132,COURANT,MAD,2012-04-09,ACTIF,321331.11,117,1,10,,2016-03-29,Inactif
144,7709175945437132,0114417709175945437132,MA640114417709175945437132,COURANT,MAD,2010-08-04,ACTIF,7509326.86,118,1,11,,2018-03-22,Inactif
145,8873865150731130,0111448873865150731130,MA640111448873865150731130,COURANT,MAD,2006-04-10,ACTIF,5474166.95,119,1,10,,2021-12-28,Inactif
146,5622974661944504,0111945622974661944504,MA640111945622974661944504,COURANT,MAD,2015-06-01,INACTIF,8039728.85,120,1,11,,2015-08-20,Inactif
147,5830209287808888,0116975830209287808888,MA640116975830209287808888,COURANT,MAD,2014-01-02,INACTIF,1226219.89,121,1,10,,2022-01-21,Inactif
148,2575273324117849,0119512575273324117849,MA640119512575273324117849,DAT,MAD,2014-08-31,ACTIF,479539.68,121,1,10,147.0,2014-08-31,Actif
149,6264082451161009,0115846264082451161009,MA640115846264082451161009,COURANT,MAD,2008-03-23,ACTIF,1164275.47,122,1,11,,2018-04-22,Inactif
150,8586984371192114,0116248586984371192114,MA640116248586984371192114,COURANT,MAD,2016-12-12,ACTIF,178791.18,123,1,10,,2018-08-25,Inactif
151,1331908537275395,0117961331908537275395,MA640117961331908537275395,COURANT,MAD,2014-06-28,ACTIF,108993.72,124,1,11,,2020-12-28,Inactif
152,6595031811531126,0114576595031811531126,MA640114576595031811531126,COURANT,MAD,2012-12-22,ACTIF,478535.94,125,1,10,,2022-09-15,Inactif
153,6472373719083766,0117656472373719083766,MA640117656472373719083766,COURANT,MAD,2009-04-10,INACTIF,300742.27,126,1,11,,2014-03-04,Inactif
154,6943956969150727,0118856943956969150727,MA640118856943956969150727,COURANT,MAD,2019-10-21,ACTIF,7839698.87,127,1,10,,2024-10-17,Actif
155,3753082186437408,0117693753082186437408,MA640117693753082186437408,COURANT,MAD,2006-03-12,ACTIF,6001819.56,128,1,11,,2018-11-12,Inactif
156,6959793919362905,0112886959793919362905,MA640112886959793919362905,COURANT,MAD,2017-07-21,ACTIF,6013644.04,129,1,10,,2018-07-05,Inactif
157,9013790666296684,0116679013790666296684,MA640116679013790666296684,COURANT,MAD,2005-05-19,ACTIF,3167694.71,130,1,11,,2009-03-31,Inactif
158,4857680937073895,0112714857680937073895,MA640112714857680937073895,COURANT,MAD,2006-12-04,ACTIF,206398.98,131,1,10,,2010-08-08,Inactif
159,4084125343853894,0117034084125343853894,MA640117034084125343853894,COURANT,MAD,2011-01-24,ACTIF,244706.69,132,1,11,,2017-05-05,Inactif
160,6071361485967070,0119546071361485967070,MA640119546071361485967070,DAT,MAD,2011-03-09,ACTIF,144569.63,132,1,11,159.0,2011-03-09,Actif
161,1030952163529606,0117961030952163529606,MA640117961030952163529606,COURANT,MAD,2013-01-25,ACTIF,492530.78,133,1,10,,2020-10-11,Inactif
162,2886762990367654,0118972886762990367654,MA640118972886762990367654,COURANT,MAD,2015-12-24,ACTIF,4804081.55,134,1,11,,2019-05-28,Inactif
163,6134367245554422,0111336134367245554422,MA640111336134367245554422,COURANT,MAD,2018-07-19,INACTIF,125007.85,135,1,10,,2021-05-23,Inactif
164,4293822924312148,0114484293822924312148,MA640114484293822924312148,COURANT,MAD,2006-06-06,ACTIF,171484.22,136,1,11,,2009-01-14,Inactif
165,3237659058601581,0113623237659058601581,MA640113623237659058601581,COURANT,MAD,2005-04-07,INACTIF,7670220.07,137,1,10,,2013-02-11,Inactif
166,5062546427718376,0115205062546427718376,MA640115205062546427718376,COURANT,MAD,2016-05-23,ACTIF,34691521.38,138,1,11,,2020-06-26,Inactif
167,6694545483906799,0119806694545483906799,MA640119806694545483906799,DAT,MAD,2017-04-03,ACTIF,18719799.7,138,1,11,166.0,2017-04-03,Actif
168,1367931334216402,0115061367931334216402,MA640115061367931334216402,COURANT,MAD,2012-12-22,ACTIF,267366.82,139,1,10,,2013-12-01,Inactif
169,1458791822486279,0115921458791822486279,MA640115921458791822486279,COURANT,MAD,2015-06-23,INACTIF,1078924.3,140,1,11,,2022-06-11,Inactif
170,6566085538031039,0115106566085538031039,MA640115106566085538031039,DAT,MAD,2016-05-04,ACTIF,308683.38,140,1,11,169.0,2016-05-04,Actif
171,8247026973347457,0112348247026973347457,MA640112348247026973347457,COURANT,MAD,2006-09-23,ACTIF,9519063.15,141,1,10,,2019-06-02,Inactif
172,2023929143768952,0119462023929143768952,MA640119462023929143768952,COURANT,MAD,2019-06-08,ACTIF,460244.35,142,1,11,,2023-12-05,Inactif
173,2518006373604365,0119372518006373604365,MA640119372518006373604365,COURANT,MAD,2014-02-04,ACTIF,36867013.98,143,1,10,,2024-05-12,Inactif
174,3452846382732852,0112993452846382732852,MA640112993452846382732852,COURANT,MAD,2013-07-10,ACTIF,3074128.88,144,1,11,,2024-11-18,Actif
175,3399778680742278,0111423399778680742278,MA640111423399778680742278,COURANT,MAD,2017-08-09,ACTIF,80520.47,145,1,10,,2023-01-27,Inactif
176,9805804610486734,0118209805804610486734,MA640118209805804610486734,COURANT,MAD,2012-05-21,ACTIF,2441386.81,146,1,11,,2014-03-25,Inactif
177,4645232618968863,0114754645232618968863,MA640114754645232618968863,DAT,MAD,2012-11-19,ACTIF,418254.02,146,1,11,176.0,2012-11-19,Actif
178,9838888619147043,0112409838888619147043,MA640112409838888619147043,COURANT,MAD,2010-01-15,ACTIF,397789.77,147,1,10,,2011-04-15,Inactif
179,1240336223109745,0117651240336223109745,MA640117651240336223109745,COURANT,MAD,2007-10-04,ACTIF,502424.44,148,1,11,,2015-09-24,Inactif
180,1681836540844816,0119451681836540844816,MA640119451681836540844816,COURANT,MAD,2016-09-18,ACTIF,287720.39,149,1,10,,2024-10-20,Actif
181,8286048435318739,0113998286048435318739,MA640113998286048435318739,COURANT,MAD,2018-01-05,INACTIF,4864686.41,150,1,11,,2020-04-10,Inactif
182,8454328039013495,0113438454328039013495,MA640113438454328039013495,COURANT,MAD,2007-04-11,ACTIF,256305.86,151,1,10,,2016-03-13,Inactif
